ID	X	Y
1	8	15
2	90	50
3	59	89
4	59	91
5	90	42
6	29	61
7	6	85
8	54	49
9	10	52
10	36	68
11	86	87
12	73	29
13	1	69
14	10	20
15	71	26
16	30	72
17	84	48
18	14	28
19	22	25
20	53	1
21	45	37
22	61	41
23	8	46
24	97	30
25	42	100
26	82	76
27	48	42
28	95	6
29	62	19
30	38	27
31	80	96
32	84	33
33	43	86
34	19	33
35	40	93
36	30	57
37	60	95
38	56	63
39	10	58
40	71	19
41	72	19
42	87	39
43	97	92
44	94	74
45	73	16
46	2	50
47	87	85
48	7	21
49	3	69
50	42	47
51	44	0
52	24	29
53	12	70
54	21	7
55	35	5
56	55	3
57	75	67
58	12	46
59	43	5
60	28	72
61	47	26
62	69	27
63	99	81
64	57	6
65	70	22
66	57	84
67	3	10
68	12	1
69	25	62
70	56	30
71	91	56
72	2	2
73	24	22
74	75	91
75	5	73
76	48	74
77	28	87
78	20	95
79	39	94
80	60	100
81	34	43
82	95	37
83	50	45
84	67	45
85	87	63
86	58	84
87	53	26
88	49	78
89	88	39
90	28	60
91	87	9
92	1	8
93	23	70
94	56	37
95	25	46
96	28	10
97	23	43
98	66	94
99	40	64
100	96	71
